"","party.estimates.1990","party.estimates.1993","party.estimates.1997","party.estimates.2001","party.estimates.2005","across.survey.ses.1990","across.survey.ses.1993","across.survey.ses.1997","across.survey.ses.2001","across.survey.ses.2005","within.survey.ses.1990","within.survey.ses.1993","within.survey.ses.1997","within.survey.ses.2001","within.survey.ses.2005"
"PCDOB",1.7037146618848,2.19189265055278,2.15269792584648,1.67810500429029,2.3395362652563,0.0673038591779454,0.269277700939941,0.293317509372652,0.386507641217322,0.314296406824389,0.0673038591779454,0.101593487873859,0.117012171781887,0.113163904767920,0.159373396416360
"PT",1.90813613392462,2.42442927062482,2.35026458635462,2.02491169360059,2.91659080106198,0.069217462314546,0.246664886501894,0.274087551073403,0.348107019942807,0.269154345954688,0.069217462314546,0.113223829813875,0.124255815416466,0.122501291113938,0.190119589328712
"PSTU",NA,2.43111446020464,NA,NA,NA,NA,0.246112424508106,NA,NA,NA,NA,0.113951932384420,NA,NA,NA
"PSB",2.43143261293902,2.59458754715053,2.84663607424706,2.55493522794293,2.84263293181494,0.0770962728957327,0.231924453543521,0.232380501116564,0.297569795800024,0.273554722273020,0.0770962728957327,0.123097117998017,0.145363215004664,0.139722912890780,0.185505869165830
"PPS",2.21894284553693,2.88050284787992,2.97380317325504,3.28686977249228,3.15281536887852,0.0736843087891714,0.211578540461469,0.223834111538865,0.253606376802094,0.257728372043314,0.0736843087891714,0.141633181623894,0.151766647242600,0.167471731033438,0.204386279677474
"PDT",3.07187196805525,3.16478900203125,3.11986329632863,3.01727530724422,3.31524213694385,0.0906879495387353,0.198178674569023,0.215147603527613,0.26541202496785,0.252140676287598,0.0906879495387353,0.161428872083800,0.158825982627837,0.156880963084303,0.213286123505556
"PSDB",3.7523135119401,3.594167428511,4.70607473783153,5.19300877823763,4.55850977041429,0.108246718874342,0.194030758182835,0.236077624569968,0.339336205789954,0.293208741878718,0.108246718874342,0.193601632999109,0.246843745123808,0.251514538442465,0.294495476805435
"PMDB",4.47767002498678,3.96721490475855,4.47830252262927,5.10155436092833,4.4828967277273,0.128948200378178,0.206701594300088,0.220589755498536,0.329890087128807,0.286820754425063,0.128948200378178,0.222827385976422,0.233426009318148,0.247010661311185,0.288748107115193
"PTB",6.14174097817858,4.93401069955871,5.6064882182079,6.06395212920369,5.10066566417084,0.180525922005050,0.289695400502229,0.319956624536611,0.439329749109107,0.344632050148747,0.180525922005050,0.301283092930094,0.300883620060245,0.292292207500599,0.330417609860619
"PL",6.39745971010506,5.23540614356273,5.73751747712405,5.95083880364464,5.19942696885139,0.188936899007905,0.324125893862011,0.334154561254572,0.425634055744264,0.355631288653021,0.188936899007905,0.326291859673977,0.308901604523917,0.287311700243283,0.337573750218030
"PP",NA,4.65949093242639,NA,NA,NA,NA,0.260950217702072,NA,NA,NA,NA,0.278643994208703,NA,NA,NA
"PDC",6.53012702165087,NA,NA,NA,NA,0.192909577313819,NA,NA,NA,NA,0.192909577313819,NA,NA,NA,NA
"PFL",6.80570629621127,5.29178235133523,6.09396716134398,6.8991066481939,5.82811530565795,0.201957670330090,0.330807747866288,0.374263315296488,0.548296663430118,0.430999089518205,0.201957670330090,0.330926562023827,0.33064090967012,0.333286679321221,0.38126733309746
"PPB",7.30086015531224,5.41570198130934,6.23101065382434,7.13602877803915,5.82960310312507,0.218059237797764,0.345760510389734,0.390204315426276,0.580259833419178,0.431018732852637,0.218059237797764,0.341192608593574,0.339094557085823,0.344663099653120,0.381025861894519
"PRN",6.53666605495531,5.67284464858502,NA,NA,NA,0.193253590400159,0.377787739578051,NA,NA,NA,0.193253590400159,0.362802527477440,NA,NA,NA
